service_id,date,exception_type
2601-193-1930052026-DCD6#6NYY,20260511,2
2601-193-1930052026-DCD6#6NYY,20260514,2
2601-193-2030012026-DCD6#6NYY,20260108,2
2601-193-2030012026-DCD6#6NYY,20260115,2
2601-193-2030012026-DCD6#6NYY,20260122,2
2601-193-2030012026-DCD6#6NYY,20260129,2
2601-193-2030122025-DCD6#6NYY,20251215,2
2601-193-2030122025-DCD6#6NYY,20251218,2
2601-202-1900032026-6MT#DCD6,20260310,2
2601-202-1900032026-6MT#DCD6,20260317,2
2601-202-1900032026-6MT#DCD6,20260324,2
2601-202-2000122025-6MT#DCD6,20251216,2
2601-202-2000122025-6MT#DCD6,20251217,2
2601-2-1200122025-6NY#DCD6,20251217,2
2601-25-0030012026-DCD6#6MT,20260108,2
2601-25-0030012026-DCD6#6MT,20260109,2
2601-25-0030012026-DCD6#6MT,20260115,2
2601-25-0030012026-DCD6#6MT,20260116,2
2601-25-0030012026-DCD6#6MT,20260122,2
2601-25-0030012026-DCD6#6MT,20260123,2
2601-25-0030012026-DCD6#6MT,20260129,2
2601-25-0030012026-DCD6#6MT,20260130,2
2601-25-0030122025-DCD6#6MT,20251216,2
2601-25-0030122025-DCD6#6MT,20251217,2
2601-25-0030122025-DCD6#6MT,20251218,2
2601-25-0030122025-DCD6#6MT,20251219,2
2601-265-1500032026-DCD6#6MT,20260310,2
2601-265-1500032026-DCD6#6MT,20260317,2
2601-265-1500032026-DCD6#6MT,20260324,2
2601-265-1600122025-DCD6#6MT,20251216,2
2601-265-1600122025-DCD6#6MT,20251217,2
2601-294-2200032026-6MT#DCD6,20260310,2
2601-294-2200032026-6MT#DCD6,20260317,2
2601-294-2200032026-6MT#DCD6,20260324,2
2601-294-2300122025-6MT#DCD6,20251216,2
2601-294-2300122025-6MT#DCD6,20251217,2
2601-30-0200012026-6MT#6DU,20260108,2
2601-30-0200012026-6MT#6DU,20260115,2
2601-30-0200012026-6MT#6DU,20260122,2
2601-30-0200012026-6MT#6DU,20260129,2
2601-30-0200122025-6MT#6DU,20251217,2
2601-30-0200122025-6MT#6DU,20251218,2
2601-371-0915052026-DCD6#6MT,20260507,2
2601-371-0915052026-DCD6#6MT,20260514,2
2601-371-1015012026-DCD6#6MT,20260108,2
2601-371-1015012026-DCD6#6MT,20260115,2
2601-371-1015012026-DCD6#6MT,20260122,2
2601-371-1015012026-DCD6#6MT,20260129,2
2601-371-1015122025-DCD6#6MT,20251216,2
2601-371-1015122025-DCD6#6MT,20251217,2
2601-371-1015122025-DCD6#6MT,20251218,2
2601-372-1530052026-6MT#DCD6,20260507,2
2601-372-1530052026-6MT#DCD6,20260514,2
2601-372-1630012026-6MT#DCD6,20260108,2
2601-372-1630012026-6MT#DCD6,20260115,2
2601-372-1630012026-6MT#DCD6,20260122,2
2601-372-1630012026-6MT#DCD6,20260129,2
2601-372-1630122025-6MT#DCD6,20251216,2
2601-372-1630122025-6MT#DCD6,20251217,2
